graph_name,speedup
g_BA_125,0.07420532148132447
g_BA_250,0.13013378762365818
g_BA_500,0.22137713771377135
g_BA_1000,0.3947945167449651
g_BA_2000,0.7203131130476076
g_ER_p01_125,1.0369683617893641
g_ER_p01_250,2.618720135022577
g_ER_p01_500,4.502432916005188
g_ER_p01_1000,5.281589013669465
g_ER_p01_2000,4.978338675726581
g_ER_p05_125,1.6425629817094214
g_ER_p05_250,3.465623140959331
g_ER_p05_500,5.070990762833553
g_ER_p05_1000,4.7254182089283425
g_ER_p05_2000,3.9659202292387574
g_ER_p1_125,2.104438287955224
g_ER_p1_250,4.450256172042485
g_ER_p1_500,4.826771504969339
g_ER_p1_1000,4.83120899252675
g_path_125,0.09685543954987313
g_path_250,0.1918341972541328
g_path_500,0.3545457251768802
g_path_1000,0.7024370687743967
g_path_2000,1.2211053978258992
p2p-Gnutella08,0.27298591184335447
facebook_combined,0.13633605140085636
Wiki-Vote,0.21210402311321
soc-sign-bitcoinalpha,4.5980218017059995
